tran_wk,wkly_volume,tv_volume,radio_volume,ps_volume,flyer_volume,email_volume,sd_volume,wd_volume,base
201601,76,0,0,10.5871794,0,0,0,0,65.4128206
201602,82,0,0,6.5080556,0,0,0,0,75.4919444
201603,106,0,0,6.9572006,0,0,0,0,99.0427994
201604,106,0,0,5.46737,0,0,0,0,100.53263
201605,96,0,0,0.7292784,0,0,0,0,95.2707216
201606,107,0,0,3.8830526,0,0,34.93589744,0,68.18104996
201607,66,0,0,5.2187322,0,0,0,0,60.7812678
201608,95,0,0,8.1081208,0,0,0,0,86.8918792
201609,67,0,0,0.368188,0,0,0,0,66.631812
201610,79,0,0,5.0040298,0,0,0,0,73.9959702
201611,96,0,0,0.8359642,0,0,0,0,95.1640358
201612,112,0,0,5.1362226,21.90923077,0,0,0,84.95454663
201613,106,0,0,1.0894816,0,0,0,0,104.9105184
201614,86,0,0,7.713095,0,0,0,0,78.286905
201615,120,0,0,2.7157192,0,0,0,0,117.2842808
201616,154,0,0,4.4499734,21.90923077,0,0,0,127.6407958
201617,134,0,0,0.7088728,0,0,0,0,133.2911272
201618,152,0,0,1.9715802,21.90923077,0,0,0,128.119189
201619,121,0,0,7.5993116,0,0,0,0,113.4006884
201620,126,0,0,10.3343274,0,0,0,0,115.6656726
201621,114,0,0,1.2318772,0,0,0,0,112.7681228
201622,158,0,0,6.2953494,0,0,0,0,151.7046506
201623,184,7.575313103,-4.056462918,7.716422,21.90923077,0,34.93589744,0,111.8631367
201624,136,7.157594612,-3.606201131,8.3290336,0,0,0,0,120.5133718
201625,167,6.748413588,-3.180878587,1.2294374,0,0,0,0,159.022149
201626,132,6.349783936,-2.786469767,3.6557076,0,0,0,0,121.9945085
201627,117,5.963378508,-2.426369675,7.5221252,21.90923077,0,0,13.23351648,68.37174904
201628,136,5.590543081,-2.101865641,9.083819,0,0,0,13.23351648,108.0921214
201629,137,5.232316911,-1.81263838,6.4785562,0,0,0,13.23351648,112.0556104
201630,145,4.889457771,-1.557227386,6.3452544,21.90923077,0,0,13.23351648,98.62254058
201631,175,4.562469684,-1.333427553,9.2007076,0,0,0,13.23351648,148.0033062
201632,162,4.251631879,-1.138606026,1.8152112,21.90923077,0,34.93589744,0,99.08802872
201633,144,3.957027793,-0.969941766,8.6340086,0,0,0,0,131.4089636
201634,121,3.678573241,-0.824597384,3.085238,0,0,0,0,114.2361888
201635,124,3.416043102,-0.699835411,7.1421818,0,0,0,0,113.4417751
201636,94,3.169096074,-0.593091292,4.1900238,0,0,0,0,86.64088013
201637,104,2.937297263,-0.502014108,3.9007966,0,0,0,0,97.16190614
201638,109,2.720138442,-0.424484181,9.4679766,0,0,0,0,96.81188496
201639,106,2.517055985,-0.358614845,3.5955998,0,0,0,0,99.88734421
201640,174,6.683492391,-5.243398416,1.5623592,21.90923077,0,34.93589744,0,108.9090202
201641,123,6.286726071,-4.776518059,5.6754184,0,0,0,0,111.0378555
201642,94,5.9024222,-4.306303349,8.695669,0,0,0,0,79.4019088
201643,110,5.531875688,-3.84610114,0.5862174,0,0,0,0,103.8819069
201644,79,5.176078706,-3.40642387,3.319237,21.90923077,0,0,0,48.59545352
201645,86,4.835746264,-2.994789282,4.1115066,0,0,0,0,77.05274714
201646,84,4.511344235,-2.615928604,10.0062852,0,0,0,0,69.48237056
201647,79,4.203118387,-2.272201974,9.1723172,0,0,0,0,65.62456441
201648,96,3.911123309,-1.964094198,3.7058344,21.90923077,0,0,0,66.47381152
201649,96,3.635250377,-1.690705273,10.666362,0,0,0,0,81.69838762
201650,73,3.37525415,-1.450186605,1.2979736,0,0,0,0,68.32677225
201651,118,3.130776799,-1.240101187,3.4432232,21.90923077,9.069230769,0,0,80.44753846
201652,80,2.901370319,-1.057703933,4.6216466,21.90923077,9.069230769,0,0,41.49852154
201701,133,2.686516415,-0.900148569,0.8636892,21.90923077,9.069230769,0,0,98.47133285
201702,112,2.485644069,-0.764632255,2.8448068,0,0,0,0,106.6695491
201703,78,2.298144828,-0.648490428,6.9749446,0,0,0,0,68.72691057
201704,73,2.123385966,-0.549253641,9.7135092,0,0,0,0,61.16310483
201705,90,1.960721643,-0.464676593,8.2662642,0,0,0,0,79.77301416
201706,89,1.809502247,-0.392747635,2.3417644,0,0,0,0,84.84873335
201707,56,1.669082104,-0.3316852,2.3639444,0,0,0,0,51.9669735
201708,71,1.538825732,-0.279925972,6.5725994,0,0,0,0,62.88857487
201709,111,4.812331342,-5.223192765,4.805297,21.90923077,0,34.93589744,0,44.53724345
201710,88,4.489064981,-4.755853151,10.0448784,0,0,0,13.23351648,60.23254014
201711,65,4.181984587,-4.285816863,2.2432852,0,0,0,13.23351648,45.34121373
201712,79,3.891132331,-3.826316555,10.5652212,0,0,0,13.23351648,51.31012998
201713,110,3.616389092,-3.387733339,1.802125,0,0,0,13.23351648,91.34796942
201714,72,3.357500724,-2.977456298,0.2623894,0,0,0,13.23351648,55.14659339
201715,107,3.114102334,-2.600102951,5.8923388,21.90923077,0,0,0,76.0843281
201716,51,2.885740331,-2.257940556,0.339354,0,0,0,0,47.77490567
201717,90,2.671892154,-1.95138315,4.9077686,21.90923077,0,0,0,60.51110848
201718,130,2.471983664,-1.679480477,6.2194938,0,0,0,0,121.3085225
201719,91,6.657940817,-3.394032073,3.0555168,21.90923077,0,34.93589744,0,24.44141418
201720,79,6.261921694,-2.983296096,8.0329306,0,0,0,0,64.70514771
201721,86,5.878456741,-2.605433796,10.6532758,0,0,0,0,69.46826746
201722,87,5.508820944,-2.262743653,5.5352408,0,0,0,0,75.95593826
201723,173,7.492817824,-4.939146562,7.1215544,21.90923077,0,34.93589744,0,101.5404996
201724,126,7.076598649,-4.468446093,0.5724658,21.90923077,0,0,0,96.44170478
201725,81,6.66933921,-4.003439368,1.5244314,0,0,0,0,72.80622939
201726,113,6.272985807,-3.555661288,9.7456702,0,0,0,0,96.98134399
201727,118,5.889145799,-3.133657028,10.7734914,0,0,0,0,101.3373628
201728,135,5.519103055,-2.743082163,5.8424338,21.90923077,0,34.93589744,0,66.79333494
201729,100,5.16383954,-2.387062815,4.5256072,0,0,0,0,90.31055326
201730,128,4.824061015,-2.066675382,7.672062,0,0,0,0,115.503877
201731,118,4.500225114,-1.781446097,6.423328,21.90923077,0,0,0,85.16721612
201732,97,4.192570392,-1.529809671,4.1270326,0,0,0,0,88.68039701
201733,161,3.901145228,-1.309496933,8.5007068,0,0,0,0,148.598148
201734,139,3.625835748,-1.11784244,10.4297014,0,0,0,0,124.9444629
201735,95,3.366392156,-0.952015658,3.4924628,0,0,0,0,88.14114504
201736,100,3.122453086,-0.809185727,2.780263,21.90923077,0,0,0,72.18805314
201737,76,2.893567735,-0.686632126,1.8302936,0,0,0,0,71.27613866
201738,93,2.679215671,-0.581813412,5.6401522,0,0,0,0,84.68063213
201739,115,2.47882431,-0.492404834,9.2470638,0,0,0,0,103.2741119
201740,138,6.661818228,-5.9721461,8.1620182,21.90923077,0,34.93589744,0,66.33103537
201741,86,6.265685219,-5.545747001,10.0805882,0,0,0,0,69.65372658
201742,91,5.882092535,-5.089634746,8.0111942,0,0,0,0,77.10671326
201743,73,5.512318183,-4.620013752,7.4930694,0,0,0,0,59.99461242
201744,75,5.157338715,-4.151775141,8.3365748,0,0,0,0,61.50608648
201745,70,4.817854987,-3.697372053,7.8015932,0,0,0,0,57.38055181
201746,58,4.494320265,-3.266318425,2.497468,0,0,0,0,51.00821173
201747,86,4.186969284,-2.865170222,9.4147446,0,0,0,0,72.39828612
201748,153,3.895847137,-2.497818971,3.9648968,21.90923077,0,0,0,123.2300253
201749,90,3.620837167,-2.16594589,9.6520706,0,0,0,0,76.72709223
201750,72,3.361687276,-1.869523445,7.4473786,0,0,0,0,61.19093412
201751,80,3.118034229,-1.607291724,5.588251,0,9.069230769,0,0,62.224484
201752,168,2.889425746,-1.377170746,3.532165,21.90923077,9.069230769,0,0,130.5999477
