tran_wk,wkly_volume,tv_volume,radio_volume,ps_volume,flyer_volume,email_volume,sd_volume,wd_volume,base
201601,8,0,0,0.58186527,0,0,0,0,7.41813473
201602,2,0,0,0.35767898,0,0,0,0,1.64232102
201603,8,0,0,0.38236373,0,0,0,0,7.61763627
201604,4,0,0,0.3004835,0,0,0,0,3.6995165
201605,8,0,0,0.04008072,0,0,0,0,7.95991928
201606,11,0,0,0.21341033,0,0,17.58585859,0,0
201607,5,0,0,0.28681851,0,0,0,0,4.71318149
201608,7,0,0,0.44561764,0,0,0,0,6.55438236
201609,5,0,0,0.0202354,0,0,0,0,4.9797646
201610,5,0,0,0.27501859,0,0,0,0,4.72498141
201611,11,0,0,0.04594411,0,0,0,0,10.95405589
201612,17,0,0,0.28228383,6.211,0,0,0,10.50671617
201613,6,0,0,0.05987728,0,0,0,0,5.94012272
201614,8,0,0,0.42390725,0,0,0,0,7.57609275
201615,11,0,0,0.14925436,0,0,0,0,10.85074564
201616,25,0,0,0.24456797,6.211,0,0,0,18.54443203
201617,19,0,0,0.03895924,0,0,0,0,18.96104076
201618,42,0,0,0.10835691,6.211,0,0,0,35.68064309
201619,17,0,0,0.41765378,0,0,0,0,16.58234622
201620,22,0,0,0.56796867,0,0,0,0,21.43203133
201621,12,0,0,0.06770326,0,0,0,0,11.93229674
201622,27,0,0,0.34598877,0,0,0,0,26.65401123
201623,72,21.2580215,-16.91715393,0.4240901,6.211,0,17.58585859,0,43.43818375
201624,30,20.08581006,-15.03937319,0.45775888,0,0,0,0,24.49580425
201625,36,18.93755666,-13.26559956,0.06756917,0,0,0,0,30.26047373
201626,21,17.81891277,-11.62074914,0.20091558,0,0,0,0,14.60092079
201627,36,16.73457279,-10.11898053,0.41341166,6.211,0,0,19.68109668,3.078899404
201628,36,15.68831326,-8.765662431,0.49924145,0,0,0,19.68109668,8.897011044
201629,41,14.68305057,-7.559463287,0.35605771,0,0,0,19.68109668,13.83925833
201630,54,13.7209112,-6.494292177,0.34873152,6.211,0,0,19.68109668,20.53255278
201631,53,12.80330955,-5.560952888,0.50566558,0,0,0,19.68109668,25.57088107
201632,69,11.9310292,-4.748465299,0.09976296,6.211,0,17.58585859,0,37.92081455
201633,6,11.1043043,-4.045064504,0.47452013,0,0,0,0,0
201634,16,10.3228986,-3.438917394,0.1695629,0,0,0,0,8.946455893
201635,21,9.586180359,-2.918607568,0.39253019,0,0,0,0,13.93989702
201636,10,8.893191812,-2.473439763,0.23028129,0,0,0,0,3.349966661
201637,13,8.242712546,-2.093609657,0.21438553,0,0,0,0,6.636511581
201638,9,7.633316363,-1.770277302,0.52035453,0,0,0,0,2.616606409
201639,7,7.063421605,-1.49557451,0.19761209,0,0,0,0,1.234540814
201640,21,18.75537327,-21.86717343,0.08586636,6.211,0,17.58585859,0,0.229075211
201641,4,17.64195831,-19.92008627,0.31191772,0,0,0,0,5.966210238
201642,7,16.56351576,-17.95909346,0.47790895,0,0,0,0,7.917668743
201643,1,15.52367944,-16.03985698,0.03221817,0,0,0,0,1.483959364
201644,9,14.5252336,-14.20621811,0.18242335,6.211,0,0,0,2.287561166
201646,5,12.65984012,-10.90952087,0.54993966,0,0,0,0,2.699741098
201647,7,11.79488951,-9.476036473,0.50410526,0,0,0,0,4.177041708
201648,11,10.97548606,-8.191097653,0.20367052,6.211,0,0,0,1.800941071
201649,10,10.20132496,-7.050951024,0.5862171,0,0,0,0,6.263408964
201650,4,9.471717444,-6.047887168,0.07133588,0,0,0,0,0.504833844
201651,2,8.785659362,-5.171742746,0.18923756,6.211,-5.458585859,0,0,0
201652,11,8.141893511,-4.411069599,0.25400303,6.211,-5.458585859,0,0,6.262758916
201701,6,7.538965443,-3.753997561,0.04746786,6.211,-5.458585859,0,0,1.415150116
201702,2,6.975272747,-3.188837619,0.15634894,0,0,0,0,0
201703,4,6.449107975,-2.704477427,0.38333893,0,0,0,0,0
201705,2,5.502223112,-1.937896539,0.45430911,0,0,0,0,0
201706,3,5.077867692,-1.637922578,0.12870202,0,0,0,0,0
201707,2,4.68381739,-1.383266579,0.12992102,0,0,0,0,0
201708,3,4.318288901,-1.167408861,0.36122627,0,0,0,0,0
201709,12,13.5044772,-21.78290738,0.26409635,6.211,0,17.58585859,0,0
201710,5,12.59731955,-19.83390493,0.55206072,0,0,0,19.68109668,0
201711,1,11.73558334,-17.87365621,0.12328966,0,0,0,19.68109668,0
201712,11,10.91938691,-15.95734695,0.58065846,0,0,0,19.68109668,0
201713,5,10.14839598,-14.12827075,0.09904375,0,0,0,19.68109668,0
201715,5,8.738867087,-10.84352125,0.32383954,6.211,0,0,0,0.569814627
201716,4,8.098032273,-9.416560371,0.0186507,0,0,0,0,5.299877398
201717,6,7.497926496,-8.138087246,0.26972813,6.211,0,0,0,0.15943262
201719,21,18.68366985,-14.15453911,0.16792944,6.211,0,17.58585859,0,0
201720,5,17.57235168,-12.4415976,0.44148523,0,0,0,0,0
201721,2,16.49626333,-10.86575312,0.58549789,0,0,0,0,0
201722,4,15.45898268,-9.436591302,0.30421364,0,0,0,0,0
201723,23,21.02652131,-20.59831542,0.39139652,6.211,0,17.58585859,0,0
201724,17,19.85851728,-18.63529679,0.03146239,6.211,0,0,0,9.534317119
201725,10,18.71565629,-16.69602346,0.08378187,0,0,0,0,7.896585307
201726,6,17.60340006,-14.82860082,0.53561641,0,0,0,0,2.689584353
201727,7,16.52625921,-13.06866583,0.59210487,0,0,0,0,2.950301744
201728,26,15.48783658,-11.43980461,0.32109679,6.211,0,17.58585859,0,0
201729,13,14.49088776,-9.955054419,0.24872476,0,0,0,0,8.215441898
201730,10,13.53739329,-8.61890427,0.4216521,0,0,0,0,4.659858883
201731,8,12.62863738,-7.429378366,0.3530224,6.211,0,0,0,0
201732,15,11.76528947,-6.379948791,0.22681933,0,0,0,0,9.387839988
201733,3,10.94748534,-5.46115215,0.46719394,0,0,0,0,0
201734,9,10.17490541,-4.661872426,0.57321037,0,0,0,0,2.913756646
201735,3,9.446848709,-3.970305104,0.19194374,0,0,0,0,0
201736,14,8.762301163,-3.374644309,0.15280165,6.211,0,0,0,2.248541496
201737,2,8.119997718,-2.863544326,0.10059188,0,0,0,0,0
201738,10,7.518477924,-2.426406269,0.30997951,0,0,0,0,4.597948835
201739,6,6.95613498,-2.053534951,0.50821329,0,0,0,0,0.589186681
201740,19,18.69455073,-24.90635732,0.44857981,6.211,0,17.58585859,0,0.966368196
201741,3,17.58291298,-23.128094,0.55402331,0,0,0,0,7.991157718
201742,12,16.50646618,-21.22591435,0.44029061,0,0,0,0,16.27915756
201743,5,15.46879671,-19.26739758,0.41181477,0,0,0,0,8.3867861
201744,5,14.47264499,-17.31464593,0.45817334,0,0,0,0,7.3838276
201745,2,13.51997778,-15.41959422,0.42877106,0,0,0,0,3.470845379
201746,4,12.61206705,-13.62191957,0.1372594,0,0,0,0,4.872593114
201747,7,11.74957151,-11.94896309,0.51742893,0,0,0,0,6.68196265
201748,10,10.93261771,-10.4169541,0.21790844,6.211,0,0,0,3.055427952
201750,1,9.433645766,-7.796697899,0.40930363,0,0,0,0,0
201751,3,8.749900864,-6.703081493,0.30712705,0,-5.458585859,0,0,6.104639437
201752,15,8.108374372,-5.743380373,0.19412575,6.211,-5.458585859,0,0,11.68846611
